tt,id_bv,name,khoa,gio_kham_bt,gio_kham_ng,gio_kham_dv,kham_dv,ghi_chu,nguoi_dien,link,,,,,,,,,,,,,,,,,,
1,ĐK BVTP1,Bệnh viện Đa khoa Sài Gòn,"Khoa khám bệnh
Khoa nội tổng hợp
Khoa ngoại tổng hợp
Khoa chấn thương chỉnh hình - Bỏng
Khoa cấp cứu hồi sức
Khoa Y học cổ truyền
Khoa xét nghiệm
Khoa dược
Khoa kiểm soát nhiễm khuẩn
khoa dinh dưỡng
Khoa Phẫu Thuật - GMHS
Khoa Chuẩn đoán hình ảnh","7:30 AM - 11:30 AM
1:30 PM - 4:00 PM",,,1,,Thảo Lê,http://benhviendakhoasaigon.vn/index.aspx,,,,,,,,,,,,,,,,,,
2,ĐK BVTP2,Bệnh viện Nguyễn Tri Phương,"Khoa Cấp cứu
Khoa Hồi sức tích cực và chống độc
Khoa Nội tim mạch
Khoa Nội hô hấp
Khoa Nội tiêu hóa
Khoa Nội cơ xương khớp
Khoa Y học cổ truyền – Vật lý trị liệu – Phục hồi chức năng
Khoa Nội thận – nội tiết
Khoa Nội thần kinh
Khoa Lão khoa
Khoa Nhi khoa
Khoa Nội tiết
Khoa Ngoại khoa
Khoa Ngoại thần kinh
Khoa Ngoại chấn thương
Khoa Sản
Khoa Nội tổng hợp
Khoa Phẫu thuật tạo hình thầm mỹ","7:30 AM - 12:00 PM
1:00 PM - 4:30 PM",Thứ 7: 7:30 AM - 3:30 PM,,1,"Có khám tại nhà, có thể đặt lịch hẹn trước qua app GlobeDr",Thảo Lê,https://bvnguyentriphuong.com.vn/,,,,,,,,,,,,,,,,,,
3,ĐK BVTP3,Bệnh viện An Bình,"Khoa điều trị Khoa Dược
Điều trị Khoa Ngoại tổng hợp
Khoa điều trị Khoa Mắt
Khoa Sản
Điều trị và chẩn đoán hình ảnh
Khoa điều trị Răng Hàm Mặt
Khoa Cấp cứu
Điều trị Khoa Vật lý trị liệu
Khoa Dinh dưỡng
Khoa nội tiêu hóa
Nội tiết...","7:30 AM - 11:30 AM
1:30 PM - 4:30 PM","5:30 AM - 7:00 AM
11:30 AM - 1:00 PM
4:30 PM - 9:00 PM
Thứ bảy, chủ nhật: 7:00 AM - 11:30 AM",,1,,Thảo Lê,https://www.benhvienanbinh.vn/,,,,,,,,,,,,,,,,,,
4,ĐK BVTP4,Bệnh viện Điều dưỡng – Phục hồi chức năng – Điều trị bệnh nghề nghiệp,"Các chuyên khoa bệnh viện Phục hồi chức năng
Khoa Lâm sàng
Khoa Khám bệnh
Khoa Cấp cứu
Khoa Hồi sức tích cực – Chống độc
Khoa Vật lý trị liệu – Phục hồi chức năng, gồm có:
Khoa Phục hồi chức năng tổn thương tủy sống
Khoa Bệnh nghề nghiệp
Khoa Tim mạch
Khoa Nội tiết – Tiêu hóa
Khoa Lão khoa
Khoa Thần kinh – Sọ não
Khoa Ngoại – Chỉnh hình
Khoa Phẫu thuật – Gây mê hồi sức
Khoa Y Dược cổ truyền
Khoa Mắt – Tai mũi họng – Răng hàm mặt
Khoa Dinh dưỡng – Tiết chế
Khoa Cận lâm sàng
Khoa Chẩn đoán hình ảnh và thăm dò chức năng
Khoa Xét nghiệm
Khoa Kiểm soát nhiễm khuẩn
Khoa Dược
Xưởng sản xuất dụng cụ trợ giúp","7:30 AM - 12:00 PM
1:00 PM - 4:30 PM",,,1,Cấp cứu 24/24,Thảo Lê,http://bvphuchoichucnanghcm.vn/chuyen-khoa/23,,,,,,,,,,,,,,,,,,
5,ĐK BVTP5,Bệnh viện Nhân Dân 115,"Khoa chẩn đoán hình ảnh, Khoa Tim mạch tổng quát, Khoa Thận nội - lọc máu & miễn dịch ghép, Khoa Hồi sức tim mạch, Khoa Nội tiêu hóa gan mật, Khoa Dược, Khoa Khám Bệnh, khoa Nội tiết, Khoa Cơ - Xương - Khớp, Khoa Y học cổ truyền - Phục hồi chức năng. Khoa ngoại với các chuyên khoa: Khoa Ngoại Thần kinh chấn thương, Khoa Ngoại tổng quát, Khoa Ngoại niệu - ghép thận, Khoa Ngoại Chấn Thương Chỉnh Hình, Khoa Ngoại Lồng ngực mạch máu, Khoa Phẫu thuật tim, Khoa Y học thể thao.","7:00 AM - 12:00 PM
1:00 PM - 4:00 PM",,,1,Sáng nhận bệnh sớm hơn 15p,Thảo Lê,http://benhvien115.com.vn/khoa,,,,,,,,,,,,,,,,,,
6,ĐK BVTP6,Bệnh viện Trưng Vương,"Khoa Khám bệnh
Khoa Cấp cứu
Hồi sức tích cực
Khoa Phụ sản
Khoa Nhi
Hô hấp
Tiêu hóa
Khoa Thận – Thận nhân tạo
Khoa Nội tiết – Tổng hợp
Ngoại tổng hợp
Khoa Nhiễm
Khoa Nội thần kinh
Chấn thương chỉnh hình
Khoa Bỏng – Tạo hình thẩm mỹ
Khoa Mắt
Tai Mũi Họng
Khoa Phẫu thuật – Gây mê hồi sức
Khoa Xét nghiệm
Chuẩn đoán hình ảnh
Khoa Kiểm soát nhiễm khuẩn
Khoa Dược","6:00 AM - 11:00 AM
1:00 PM - 4:30 PM
Thứ bảy: 7:0 AM - 2:00 PM",,,1,"bệnh viện có các chuyên khoa thế mạnh liên quan đến ngoại khoa như: phẫu thuật nội soi; phẫu thuật cắt túi mật, gan, dạ dày. Phẫu thuật điều trị niệu khoa, tuyến giáp, chỉnh hình cột sống, mạch máu…",Thảo Lê,https://bvtrungvuong.vn/,,,,,,,,,,,,,,,,,,
7,ĐK BVTP7,Bệnh viện Nhi đồng 2,"Khối lâm sàng ngoại: 
Phẫu thuật gây mê
Ngoại tổng hợp
Ngoại thần kinh
Bỏng – Chỉnh hình
Khoa Niệu
Tai mũi họng
Khối lâm sàng nội:
Cấp cứu
Sơ sinh
Hồi sức sơ sinh
Hồi sức
Tiêu hóa
Nội tổng hợp
Khám bệnh
Phòng khám
Tâm lý – Phòng khám theo yêu cầu chất lượng cao
Sức khỏe trẻ em
Ung bướu Huyết học
Nhiễm
Thận – Nội tiết
Thần kinh
Tim mạch
Nội 1, 2, 3
Hô hấp 1, 2
Điều trị trong ngày
Khối cận lâm sàng:
Chẩn đoán hình ảnh
Kiểm soát nhiễm khuẩn
Dược
Xét nghiệm huyết học
Dinh dưỡng.","7:30 AM - 11:00 AM
1:00 PM - 4:00 PM
4:30 PM - 7:30 PM","Thứ bảy, chủ nhật: 
7:30 AM - 11:00 AM
1:00 PM - 4:00 PM
4:30 PM - 7:30 PM",,1,Chuyên môn về bệnh nhi,Thảo Lê,http://www.benhviennhi.org.vn/,,,,,,,,,,,,,,,,,,
8,ĐK BVTP8,Bệnh viện Nhi Đồng 1,"Khoa Sơ sinh
Khoa Tim mạch
Khoa Hô hấp – Suyễn
Khoa Dị ứng miễn dịch
Khoa Sốt xuất huyết – Huyết học
Khoa Thận
Khoa Nội tiết
Khoa Nhiễm
Khoa Thần kinh
Khoa Da liễu
Khoa Dinh dưỡng
Khoa Tiêu hóa
Khoa Tai – Mũi – Họng
Khoa Mắt
Khoa Ngoại tổng quát
Khoa Khám theo hẹn Ngoại khoa
Khoa Hẹn mổ và nhập viện Ngoại khoa
Khoa Hội chẩn Ngoại khoa
Khoa Ngoại tiết niệu
Khoa Ngoại sơ sinh
Khoa Ung bướu
Khoa Ngoại tiêu hóa – Gan mật
Khoa Bướu máu, phỏng, tạo hình
Khoa Chỉnh hình
Khoa Tiêm chủng
Khoa Tâm lý
Khoa Răng – Hàm – Mặt
Khoa Vật lý trị liệu
Khoa Ngôn ngữ trị liệu","7:00 AM - 11:30 AM
1:00 PM - 4:00 PM",4:00 PM - 8:00 PM,,1,"Bệnh viện nhi, 5:00 AM phát số thứ tự",Thảo Lê,https://nhidong.org.vn/Index.aspx,,,,,,,,,,,,,,,,,,
9,ĐK BVTP9,Bệnh viện Nhi Đồng Thành phố,"khoa lâm sàng: Khoa Khám bệnh, Khoa Cấp cứu, khoa Nội tổng hợp,  khoa Hô hấp, khoa Tiêu hóa, khoa Dược, khoa Kiểm soát nhiễm khuẩn. Khối Cận lâm sàng gồm các Khoa Chẩn đoán hình ảnh, Khoa Huyết học, Sinh hoá, Vi sinh","7:00 AM - 11:30 AM
11:00 AM - 1:0 PM
12:30 PM - 4:00 PM
Tăng cường: 4:00 PM - 7:30 PM",,,1,,Thảo Lê,https://bvndtp.org.vn/,,,,,,,,,,,,,,,,,,
10,ĐK BVTP10,Bệnh viện Nhân dân Gia Định,"Các chuyên khoa khối nội bao gồm:
+ Khoa Tim Mạch Can Thiệp – DSA.
+  Khoa Nội Tiêu Hóa.
+ Hồi Sức Tích Cực Chống Độc.
+ Khoa Lão Học.
+ Nội Hô Hấp – Cơ Xương Khớp.
+ Khoa Nội Tiết – Thận Niệu.
+ Nội Thần Kinh – Huyết Học.
+ Khoa Nội Tim Mạch.
Chuyên khoa khối ngoại
+  Khoa Phẫu Thuật Tim.
+ Khoa Phẫu Thuật – Gây Mê – Hồi Sức
+  Ngoại Chấn Thương Chỉnh Hình
+ Khoa Tổng Hợp
+  Khoa Ngoại Tiêu Hóa
+  Ngoại Thận – Tiết Niệu
+ Ngoại Lồng Ngực – Mạch Máu
+  Khoa Ngoại Thần Kinh
Chuyên khoa khối sản
+ Khoa Sản Bệnh
+  Phụ Khoa
+  Sản Thường
+ Khoa Sanh
+ Tổ khám sản
Chuyên khoa khối nhi
+ Khoa Bệnh Lý Sơ Sinh.
+  Khoa Nhi.
Các chuyên khoa khác
+ Khoa Tai Mũi Họng
+ Răng Hàm Mặt
+  Khoa Mắt
Các khoa tiếp nhận của bệnh viện Nhân Dân Gia Định
+ Khoa cấp cứu
+  Khoa khám bệnh","7:00 AM - 11:30 AM
1:00 PM - 4:00 PM","Trong tuần: 4:00 PM - 7:00 PM
Cuối tuần: 7:30 AM - 11:30 AM",,1,,Thảo Lê,http://bvndgiadinh.org.vn/home/about/,,,,,,,,,,,,,,,,,,
