eng,viet,,,,,,,,,,,,,,,,,,,,,,,,
itching,Ngứa,,,,,,,,,,,,,,,,,,,,,,,,
skin_rash,Da phát ban,,,,,,,,,,,,,,,,,,,,,,,,
nodal_skin_eruptions,Da nổi mẩn,,,,,,,,,,,,,,,,,,,,,,,,
continuous_sneezing,Hắt hơi liên tục ,,,,,,,,,,,,,,,,,,,,,,,,
shivering,"Run, rùng mình",,,,,,,,,,,,,,,,,,,,,,,,
chills,Ớn lạnh,,,,,,,,,,,,,,,,,,,,,,,,
joint_pain,Đau khớp,,,,,,,,,,,,,,,,,,,,,,,,
stomach_pain,Đau dạ dày,,,,,,,,,,,,,,,,,,,,,,,,
acidity,"Ợ chua, ợ nóng",,,,,,,,,,,,,,,,,,,,,,,,
ulcers_on_tongue,Loét ở lưỡi,,,,,,,,,,,,,,,,,,,,,,,,
muscle_wasting,Teo cơ,,,,,,,,,,,,,,,,,,,,,,,,
vomiting,Nôn mửa,,,,,,,,,,,,,,,,,,,,,,,,
burning_micturition,Tiểu buốt,,,,,,,,,,,,,,,,,,,,,,,,
spotting_ urination,Tiểu ra máu,,,,,,,,,,,,,,,,,,,,,,,,
fatigue,Mệt mỏi,,,,,,,,,,,,,,,,,,,,,,,,
weight_gain,Tăng cân,,,,,,,,,,,,,,,,,,,,,,,,
anxiety,Lo âu,,,,,,,,,,,,,,,,,,,,,,,,
cold_hands_and_feets,"Lạnh bàn tay, bàn chân",,,,,,,,,,,,,,,,,,,,,,,,
mood_swings,Tâm trạng bất ổn,,,,,,,,,,,,,,,,,,,,,,,,
weight_loss,Giảm cân,,,,,,,,,,,,,,,,,,,,,,,,
restlessness,Bồn chồn,,,,,,,,,,,,,,,,,,,,,,,,
lethargy,Yếu mệt,,,,,,,,,,,,,,,,,,,,,,,,
patches_in_throat,Mảng trắng ở họng,,,,,,,,,,,,,,,,,,,,,,,,
irregular_sugar_level,Đường huyết không ổn định,,,,,,,,,,,,,,,,,,,,,,,,
cough,Ho,,,,,,,,,,,,,,,,,,,,,,,,
high_fever,Sốt cao,,,,,,,,,,,,,,,,,,,,,,,,
sunken_eyes,Mắt trũng sâu,,,,,,,,,,,,,,,,,,,,,,,,
breathlessness,Khó thở,,,,,,,,,,,,,,,,,,,,,,,,
sweating,Vã mồ hôi,,,,,,,,,,,,,,,,,,,,,,,,
dehydration,Mất nước,,,,,,,,,,,,,,,,,,,,,,,,
indigestion,Khó tiêu,,,,,,,,,,,,,,,,,,,,,,,,
headache,Đau đầu,,,,,,,,,,,,,,,,,,,,,,,,
yellowish_skin,Vàng da,,,,,,,,,,,,,,,,,,,,,,,,
dark_urine,Nước tiểu sẫm màu,,,,,,,,,,,,,,,,,,,,,,,,
nausea,Buồn nôn,,,,,,,,,,,,,,,,,,,,,,,,
loss_of_appetite,Ăn không ngon miệng,,,,,,,,,,,,,,,,,,,,,,,,
pain_behind_the_eyes,Đau hốc mắt,,,,,,,,,,,,,,,,,,,,,,,,
back_pain,Đau lưng,,,,,,,,,,,,,,,,,,,,,,,,
constipation,Táo bón,,,,,,,,,,,,,,,,,,,,,,,,
abdominal_pain,Đau bụng,,,,,,,,,,,,,,,,,,,,,,,,
diarrhoea,Tiêu chảy,,,,,,,,,,,,,,,,,,,,,,,,
mild_fever,Sốt nhẹ,,,,,,,,,,,,,,,,,,,,,,,,
yellow_urine,Tiểu vàng trong,,,,,,,,,,,,,,,,,,,,,,,,
yellowing_of_eyes,Vàng mắt,,,,,,,,,,,,,,,,,,,,,,,,
acute_liver_failure,Suy gan cấp,,,,,,,,,,,,,,,,,,,,,,,,
fluid_overload,Quá tải dịch,,,,,,,,,,,,,,,,,,,,,,,,
swelling_of_stomach,Chướng bụng,,,,,,,,,,,,,,,,,,,,,,,,
swelled_lymph_nodes,Sưng hạch bạch huyết,,,,,,,,,,,,,,,,,,,,,,,,
malaise,Khó chịu,,,,,,,,,,,,,,,,,,,,,,,,
blurred_and_distorted_vision,Mắt nhìn mờ và không rõ,,,,,,,,,,,,,,,,,,,,,,,,
phlegm,Đờm,,,,,,,,,,,,,,,,,,,,,,,,
throat_irritation,Ngứa cổ họng,,,,,,,,,,,,,,,,,,,,,,,,
redness_of_eyes,Đỏ mắt,,,,,,,,,,,,,,,,,,,,,,,,
sinus_pressure,Áp lực xoang,,,,,,,,,,,,,,,,,,,,,,,,
runny_nose,Chảy nước mũi,,,,,,,,,,,,,,,,,,,,,,,,
congestion,Nghẹt mũi,,,,,,,,,,,,,,,,,,,,,,,,
chest_pain,Đau ngực,,,,,,,,,,,,,,,,,,,,,,,,
weakness_in_limbs,Yếu tay chân,,,,,,,,,,,,,,,,,,,,,,,,
fast_heart_rate,Tim đập nhanh,,,,,,,,,,,,,,,,,,,,,,,,
pain_during_bowel_movements,Đau khi đi cầu,,,,,,,,,,,,,,,,,,,,,,,,
pain_in_anal_region,Đau vùng hậu môn,,,,,,,,,,,,,,,,,,,,,,,,
bloody_stool,Tiêu phân máu,,,,,,,,,,,,,,,,,,,,,,,,
irritation_in_anus,Ngứa ở hậu môn,,,,,,,,,,,,,,,,,,,,,,,,
neck_pain,Đau vùng cổ,,,,,,,,,,,,,,,,,,,,,,,,
dizziness,Choáng,,,,,,,,,,,,,,,,,,,,,,,,
cramps,Chuột rút,,,,,,,,,,,,,,,,,,,,,,,,
bruising,Bầm,,,,,,,,,,,,,,,,,,,,,,,,
obesity,Béo phì,,,,,,,,,,,,,,,,,,,,,,,,
swollen_legs,Phù nề ở chân,,,,,,,,,,,,,,,,,,,,,,,,
swollen_blood_vessels,"Mạch máu phù nề, nổi gân xanh",,,,,,,,,,,,,,,,,,,,,,,,
puffy_face_and_eyes,Phù ở mặt và mắt,,,,,,,,,,,,,,,,,,,,,,,,
enlarged_thyroid,Bướu ở cổ,,,,,,,,,,,,,,,,,,,,,,,,
brittle_nails,"Móng giòn, dễ gãy",,,,,,,,,,,,,,,,,,,,,,,,
swollen_extremeties,Phù ở các chi,,,,,,,,,,,,,,,,,,,,,,,,
excessive_hunger,Đòi cồn cào,,,,,,,,,,,,,,,,,,,,,,,,
extra_marital_contacts,Quan hệ ngoài hôn nhân,,,,,,,,,,,,,,,,,,,,,,,,
drying_and_tingling_lips,Môi bị khô và ngứa,,,,,,,,,,,,,,,,,,,,,,,,
slurred_speech,Khàn giọng,,,,,,,,,,,,,,,,,,,,,,,,
knee_pain,Đau khớp gối,,,,,,,,,,,,,,,,,,,,,,,,
hip_joint_pain,Đau khớp háng,,,,,,,,,,,,,,,,,,,,,,,,
muscle_weakness,Cơ yếu,,,,,,,,,,,,,,,,,,,,,,,,
stiff_neck,Cổ cứng đờ,,,,,,,,,,,,,,,,,,,,,,,,
swelling_joints,Sưng khớp,,,,,,,,,,,,,,,,,,,,,,,,
movement_stiffness,Cử động khó khăn,,,,,,,,,,,,,,,,,,,,,,,,
spinning_movements,Xoay mòng khi thay đổi tư thế,,,,,,,,,,,,,,,,,,,,,,,,
loss_of_balance,Mất thăng bằng,,,,,,,,,,,,,,,,,,,,,,,,
unsteadiness,Dễ bị ngã,,,,,,,,,,,,,,,,,,,,,,,,
weakness_of_one_body_side,Yếu một bên người,,,,,,,,,,,,,,,,,,,,,,,,
loss_of_smell,Mất khứu giác,,,,,,,,,,,,,,,,,,,,,,,,
bladder_discomfort,Khó chịu vùng bàng quang,,,,,,,,,,,,,,,,,,,,,,,,
foul_smell_of urine,Nước tiểu có mùi hôi,,,,,,,,,,,,,,,,,,,,,,,,
continuous_feel_of_urine,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,,,,,,,,,,,
passage_of_gases,Xì hơi,,,,,,,,,,,,,,,,,,,,,,,,
internal_itching,Ngứa ngáy trong người,,,,,,,,,,,,,,,,,,,,,,,,
toxic_look_(typhos),"Vẻ mặt nhiễm trùng, mệt mỏi",,,,,,,,,,,,,,,,,,,,,,,,
depression,Trầm cảm,,,,,,,,,,,,,,,,,,,,,,,,
irritability,"Dễ cáu, khó chịu",,,,,,,,,,,,,,,,,,,,,,,,
muscle_pain,Đau cơ,,,,,,,,,,,,,,,,,,,,,,,,
altered_sensorium,Cảm giác tỉnh táo,,,,,,,,,,,,,,,,,,,,,,,,
red_spots_over_body,Nổi mẩn đỏ toàn thân,,,,,,,,,,,,,,,,,,,,,,,,
belly_pain,Đau bụng,,,,,,,,,,,,,,,,,,,,,,,,
abnormal_menstruation,Kinh nguyệt không đều,,,,,,,,,,,,,,,,,,,,,,,,
dischromic _patches,Đốm trắng trên da,,,,,,,,,,,,,,,,,,,,,,,,
watering_from_eyes,Chảy nước mắt,,,,,,,,,,,,,,,,,,,,,,,,
increased_appetite,Thèm ăn,,,,,,,,,,,,,,,,,,,,,,,,
polyuria,Tiểu nhiều,,,,,,,,,,,,,,,,,,,,,,,,
family_history,Tiền căn gia đình (bị tiểu đường/ viêm gan),,,,,,,,,,,,,,,,,,,,,,,,
mucoid_sputum,Đờm nhầy,,,,,,,,,,,,,,,,,,,,,,,,
rusty_sputum,Đờm đặc,,,,,,,,,,,,,,,,,,,,,,,,
lack_of_concentration,Thiếu tập trung,,,,,,,,,,,,,,,,,,,,,,,,
visual_disturbances,Rối loạn thị giác,,,,,,,,,,,,,,,,,,,,,,,,
receiving_blood_transfusion,Được truyền máu,,,,,,,,,,,,,,,,,,,,,,,,
receiving_unsterile_injections,Tiêm không đảm bảo vô trùng,,,,,,,,,,,,,,,,,,,,,,,,
coma,Hôn mê,,,,,,,,,,,,,,,,,,,,,,,,
stomach_bleeding,Xuất huyết dạ dày,,,,,,,,,,,,,,,,,,,,,,,,
distention_of_abdomen,Chướng bụng,,,,,,,,,,,,,,,,,,,,,,,,
history_of_alcohol_consumption,Tiền căn sử dụng chất có cồn,,,,,,,,,,,,,,,,,,,,,,,,
fluid_overload,Quá tải dịch,,,,,,,,,,,,,,,,,,,,,,,,
blood_in_sputum,Đờm có máu,,,,,,,,,,,,,,,,,,,,,,,,
prominent_veins_on_calf,Nổi gân xanh ở bắp chân,,,,,,,,,,,,,,,,,,,,,,,,
palpitations,Hồi hộp,,,,,,,,,,,,,,,,,,,,,,,,
painful_walking,Đau khi di chuyển,,,,,,,,,,,,,,,,,,,,,,,,
pus_filled_pimples,Mụn bọc mủ,,,,,,,,,,,,,,,,,,,,,,,,
blackheads,Mụn đầu đen,,,,,,,,,,,,,,,,,,,,,,,,
scurring,"Vết sưng đỏ, nhỏ dưới da",,,,,,,,,,,,,,,,,,,,,,,,
skin_peeling,Lột da,,,,,,,,,,,,,,,,,,,,,,,,
silver_like_dusting,"Vảy dày, óng ánh bạc",,,,,,,,,,,,,,,,,,,,,,,,
small_dents_in_nails,Lõm ở móng,,,,,,,,,,,,,,,,,,,,,,,,
inflammatory_nails,Viêm móng,,,,,,,,,,,,,,,,,,,,,,,,
blister,Mụn nước,,,,,,,,,,,,,,,,,,,,,,,,
red_sore_around_nose,Dát đỏ quanh mũi,,,,,,,,,,,,,,,,,,,,,,,,
yellow_crust_ooze,Mài màu mật ong trên da,,,,,,,,,,,,,,,,,,,,,,,,
